MD,Incl,Azi,TVD,NS,EW,VS,DLS,Build,Turn
1580.0,34.02,258.98,1527.81,13.27,-272.67,-98.37,0.661,-0.09,-1.17
1590.0,34.03,258.75,1536.1,12.19,-278.16,-101.51,0.387,0.03,-0.69
1600.0,33.97,258.48,1544.39,11.08,-283.64,-104.67,0.487,-0.18,-0.81
1610.0,34.0,258.45,1552.68,9.97,-289.12,-107.85,0.103,0.09,-0.09
1620.0,34.2,258.47,1560.96,8.84,-294.61,-111.03,0.601,0.6,0.06
1630.0,34.38,258.36,1569.22,7.71,-300.13,-114.23,0.571,0.54,-0.33
1640.0,34.44,258.17,1577.47,6.56,-305.66,-117.45,0.369,0.18,-0.57
1650.0,34.42,257.88,1585.72,5.39,-311.19,-120.69,0.496,-0.06,-0.87
1660.0,34.35,257.77,1593.97,4.2,-316.71,-123.95,0.281,-0.21,-0.33
1670.0,34.31,257.67,1602.23,3.0,-322.23,-127.21,0.207,-0.12,-0.3
1680.0,34.23,257.7,1610.49,1.8,-327.73,-130.46,0.245,-0.24,0.09
1690.0,34.23,257.66,1618.76,0.6,-333.22,-133.72,0.068,0.0,-0.12
1700.0,34.3,257.68,1627.03,-0.6,-338.72,-136.98,0.213,0.21,0.06
1710.0,34.41,257.59,1635.28,-1.81,-344.23,-140.25,0.363,0.33,-0.27
1720.0,34.04,257.5,1643.55,-3.03,-349.73,-143.51,1.12,-1.11,-0.27
1730.0,33.09,257.75,1651.88,-4.21,-355.13,-146.71,2.88,-2.85,0.75
1740.0,32.35,258.27,1660.3,-5.33,-360.41,-149.82,2.375,-2.22,1.56
1750.0,31.64,258.71,1668.78,-6.39,-365.61,-152.82,2.242,-2.13,1.32
1760.0,30.59,259.3,1677.34,-7.38,-370.68,-155.71,3.28,-3.15,1.77
1770.0,29.68,259.79,1685.99,-8.29,-375.62,-158.48,2.828,-2.73,1.47
1780.0,29.07,260.04,1694.7,-9.15,-380.44,-161.16,1.867,-1.83,0.75
1790.0,28.52,260.12,1703.46,-9.98,-385.19,-163.78,1.654,-1.65,0.24
1800.0,27.54,260.26,1712.29,-10.78,-389.82,-166.33,2.947,-2.94,0.42
1810.0,26.37,260.65,1721.21,-11.53,-394.29,-168.77,3.55,-3.51,1.17
1820.0,25.69,260.79,1730.19,-12.24,-398.62,-171.12,2.048,-2.04,0.42
1830.0,25.1,261.16,1739.22,-12.91,-402.86,-173.39,1.833,-1.77,1.11
1840.0,24.31,261.3,1748.31,-13.55,-406.99,-175.59,2.376,-2.37,0.42
1850.0,23.4,261.24,1757.45,-14.16,-410.98,-177.72,2.731,-2.73,-0.18
1860.0,22.79,260.74,1766.65,-14.78,-414.86,-179.8,1.922,-1.83,-1.5
1870.0,21.92,260.49,1775.9,-15.4,-418.61,-181.84,2.626,-2.61,-0.75
1880.0,20.98,260.58,1785.21,-16.0,-422.22,-183.81,2.822,-2.82,0.27
1890.0,20.23,261.02,1794.57,-16.56,-425.69,-185.68,2.297,-2.25,1.32
1900.0,19.65,261.39,1803.97,-17.08,-429.06,-187.48,1.781,-1.74,1.11
1910.0,19.02,261.79,1813.41,-17.57,-432.34,-189.21,1.931,-1.89,1.2
1920.0,18.16,262.11,1822.88,-18.01,-435.49,-190.85,2.598,-2.58,0.96
1930.0,17.32,262.45,1832.41,-18.42,-438.51,-192.41,2.539,-2.52,1.02
1940.0,16.56,262.81,1841.97,-18.8,-441.4,-193.89,2.302,-2.28,1.08
1950.0,15.62,263.53,1851.58,-19.13,-444.15,-195.27,2.883,-2.82,2.16
